"Word","Number_NonZero"
93,99
125,99
3,98
106,97
11,93
32,93
38,93
54,89
136,86
45,83
202,83
56,77
272,77
9,75
132,70
2,69
127,69
128,67
179,66
115,65
364,65
26,64
135,61
176,60
365,57
254,55
429,55
148,54
164,54
301,54
53,53
90,52
160,50
85,49
271,49
123,48
263,48
410,47
29,46
81,45
120,45
169,42
529,42
75,41
291,41
198,39
59,38
286,38
5,37
279,37
262,36
250,35
572,35
360,34
245,33
550,33
280,32
184,31
192,31
212,31
311,31
437,31
530,31
20,30
27,30
167,30
219,30
1,29
88,29
117,29
190,29
766,29
46,28
211,28
229,28
328,28
415,28
439,28
525,28
248,27
342,27
393,27
512,27
547,27
21,26
80,26
171,26
194,26
304,26
354,26
418,26
428,26
357,25
380,25
411,25
558,25
73,24
232,24
260,24
347,24
389,24
426,24
7,23
34,23
47,23
74,23
193,23
235,23
290,23
405,23
4,22
154,22
155,22
246,22
348,22
404,22
531,22
577,22
146,21
153,21
266,21
334,21
398,21
400,21
441,21
448,21
582,21
594,21
641,21
666,21
15,20
22,20
24,20
37,20
63,20
83,20
126,20
253,20
352,20
378,20
66,19
108,19
162,19
534,19
536,19
661,19
13,18
52,18
69,18
131,18
174,18
178,18
230,18
244,18
329,18
430,18
610,18
35,17
79,17
180,17
189,17
222,17
236,17
256,17
322,17
416,17
532,17
626,17
770,17
94,16
226,16
231,16
468,16
497,16
528,16
552,16
557,16
609,16
754,16
36,15
60,15
97,15
105,15
119,15
157,15
173,15
300,15
315,15
353,15
373,15
375,15
385,15
401,15
459,15
567,15
568,15
722,15
725,15
794,15
841,15
23,14
49,14
78,14
121,14
284,14
296,14
321,14
371,14
382,14
438,14
450,14
498,14
521,14
522,14
540,14
555,14
560,14
606,14
637,14
639,14
672,14
850,14
949,14
99,13
103,13
122,13
124,13
144,13
150,13
181,13
206,13
213,13
238,13
274,13
275,13
295,13
307,13
367,13
402,13
469,13
579,13
658,13
673,13
851,13
995,13
10,12
31,12
55,12
62,12
68,12
84,12
101,12
107,12
114,12
129,12
133,12
138,12
149,12
151,12
156,12
161,12
186,12
201,12
208,12
241,12
270,12
277,12
281,12
303,12
330,12
338,12
361,12
386,12
435,12
442,12
462,12
477,12
495,12
505,12
539,12
544,12
616,12
690,12
698,12
714,12
727,12
741,12
830,12
8,11
12,11
17,11
18,11
25,11
57,11
64,11
82,11
87,11
95,11
100,11
109,11
130,11
140,11
182,11
200,11
203,11
207,11
220,11
227,11
252,11
268,11
282,11
285,11
294,11
