"","x"
"1",29
"2",69
"3",98
"4",22
"5",37
"6",8
"7",23
"8",11
"9",75
"10",12
"11",93
"12",11
"13",18
"14",8
"15",20
"16",8
"17",11
"18",11
"19",8
"20",30
"21",26
"22",20
"23",14
"24",20
"25",11
"26",64
"27",30
"28",8
"29",46
"30",5
"31",12
"32",93
"33",10
"34",23
"35",17
"36",15
"37",20
"38",93
"39",8
"40",9
"41",9
"42",9
"43",6
"44",8
"45",83
"46",28
"47",23
"48",10
"49",14
"50",8
"51",6
"52",18
"53",53
"54",89
"55",12
"56",77
"57",11
"58",2
"59",38
"60",15
"61",5
"62",12
"63",20
"64",11
"65",6
"66",19
"67",4
"68",12
"69",18
"70",8
"71",5
"72",7
"73",24
"74",23
"75",41
"76",7
"77",8
"78",14
"79",17
"80",26
"81",45
"82",11
"83",20
"84",12
"85",49
"86",7
"87",11
"88",29
"89",8
"90",52
"91",7
"92",5
"93",99
"94",16
"95",11
"96",7
"97",15
"98",9
"99",13
"100",11
"101",12
"102",5
"103",13
"104",6
"105",15
"106",97
"107",12
"108",19
"109",11
"110",6
"111",9
"112",10
"113",9
"114",12
"115",65
"116",6
"117",29
"118",4
"119",15
"120",45
"121",14
"122",13
"123",48
"124",13
"125",99
"126",20
"127",69
"128",67
"129",12
"130",11
"131",18
"132",70
"133",12
"134",7
"135",61
"136",86
"137",7
"138",12
"139",10
"140",11
"141",9
"142",7
"143",5
"144",13
"145",8
"146",21
"147",10
"148",54
"149",12
"150",13
"151",12
"152",10
"153",21
"154",22
"155",22
"156",12
"157",15
"158",10
"159",7
"160",50
"161",12
"162",19
"163",9
"164",54
"165",5
"166",9
"167",30
"168",9
"169",42
"170",9
"171",26
"172",8
"173",15
"174",18
"175",4
"176",60
"177",9
"178",18
"179",66
"180",17
"181",13
"182",11
"183",6
"184",31
"185",4
"186",12
"187",10
"188",10
"189",17
"190",29
"191",0
"192",31
"193",23
"194",26
"195",8
"196",10
"197",6
"198",39
"199",5
"200",11
"201",12
"202",83
"203",11
"204",8
"205",7
"206",13
"207",11
"208",12
"209",6
"210",10
"211",28
"212",31
"213",13
"214",7
"215",10
"216",8
"217",6
"218",6
"219",30
"220",11
"221",10
"222",17
"223",3
"224",10
"225",9
"226",16
"227",11
"228",10
"229",28
"230",18
"231",16
"232",24
"233",3
"234",10
"235",23
"236",17
"237",9
"238",13
"239",10
"240",10
"241",12
"242",5
"243",8
"244",18
"245",33
"246",22
"247",10
"248",27
"249",10
"250",35
"251",4
"252",11
"253",20
"254",55
"255",6
"256",17
"257",3
"258",7
"259",9
"260",24
"261",8
"262",36
"263",48
"264",5
"265",5
"266",21
"267",9
"268",11
"269",6
"270",12
"271",49
"272",77
"273",5
"274",13
"275",13
"276",7
"277",12
"278",9
"279",37
"280",32
"281",12
"282",11
"283",9
"284",14
"285",11
"286",38
"287",6
"288",7
"289",10
"290",23
"291",41
"292",9
"293",6
"294",11
"295",13
"296",14
"297",6
"298",10
"299",8
"300",15
"301",54
"302",7
"303",12
"304",26
"305",4
"306",5
"307",13
"308",7
"309",10
"310",5
"311",31
"312",11
"313",5
"314",6
"315",15
"316",7
"317",8
"318",4
"319",9
"320",0
"321",14
"322",17
"323",8
"324",8
"325",9
"326",10
"327",5
"328",28
"329",18
"330",12
"331",9
"332",10
"333",10
"334",21
"335",9
"336",8
"337",7
"338",12
"339",6
"340",4
"341",4
"342",27
"343",10
"344",7
"345",9
"346",7
"347",24
"348",22
"349",9
"350",4
"351",9
"352",20
"353",15
"354",26
"355",5
"356",11
"357",25
"358",8
"359",7
"360",34
"361",12
"362",7
"363",4
"364",65
"365",57
"366",10
"367",13
"368",8
"369",10
"370",10
"371",14
"372",8
"373",15
"374",11
"375",15
"376",4
"377",8
"378",20
"379",9
"380",25
